id,nome,sexo,nota
1,Filme 1,F,8.2
2,Filme 2,M,6.0
3,Filme 3,F,6.1
4,Filme 4,M,9.4
5,Filme 5,F,6.5
6,Filme 6,M,6.1
7,Filme 7,F,8.6
8,Filme 8,M,6.9
9,Filme 9,F,7.1
10,Filme 10,M,6.4
11,Filme 11,F,8.9
12,Filme 12,M,7.0
13,Filme 13,F,7.3
14,Filme 14,M,8.0
15,Filme 15,F,6.2
16,Filme 16,M,7.0
17,Filme 17,F,9.1
18,Filme 18,M,9.1
19,Filme 19,F,6.9
20,Filme 20,M,9.4
21,Filme 21,F,7.1
22,Filme 22,M,7.2
23,Filme 23,F,7.0
24,Filme 24,M,7.9
25,Filme 25,F,8.2
26,Filme 26,M,6.2
27,Filme 27,F,6.2
28,Filme 28,M,8.9
29,Filme 29,F,6.0
30,Filme 30,M,8.1
31,Filme 31,F,8.2
32,Filme 32,M,8.9
33,Filme 33,F,8.0
34,Filme 34,M,6.1
35,Filme 35,F,9.0
36,Filme 36,M,8.0
37,Filme 37,F,6.4
38,Filme 38,M,6.8
39,Filme 39,F,6.0
40,Filme 40,M,9.3
41,Filme 41,F,6.5
42,Filme 42,M,8.7
43,Filme 43,F,8.8
44,Filme 44,M,7.3
45,Filme 45,F,9.3
46,Filme 46,M,6.7
47,Filme 47,F,6.0
48,Filme 48,M,9.4
49,Filme 49,F,6.4
50,Filme 50,M,8.6
51,Filme 51,F,8.6
52,Filme 52,M,8.8
53,Filme 53,F,8.8
54,Filme 54,M,7.2
55,Filme 55,F,9.3
56,Filme 56,M,9.1
57,Filme 57,F,6.0
58,Filme 58,M,7.7
59,Filme 59,F,7.4
60,Filme 60,M,8.3
61,Filme 61,F,8.1
62,Filme 62,M,7.8
63,Filme 63,F,6.6
64,Filme 64,M,7.4
65,Filme 65,F,8.8
66,Filme 66,M,6.1
67,Filme 67,F,6.2
68,Filme 68,M,6.0
69,Filme 69,F,6.2
70,Filme 70,M,7.1
71,Filme 71,F,7.1
72,Filme 72,M,7.2
73,Filme 73,F,6.6
74,Filme 74,M,9.2
75,Filme 75,F,6.4
76,Filme 76,M,6.9
77,Filme 77,F,6.7
78,Filme 78,M,7.5
79,Filme 79,F,8.5
80,Filme 80,M,6.6
81,Filme 81,F,8.1
82,Filme 82,M,6.3
83,Filme 83,F,7.6
84,Filme 84,M,7.1
85,Filme 85,F,7.8
86,Filme 86,M,9.1
87,Filme 87,F,7.9
88,Filme 88,M,8.3
89,Filme 89,F,9.1
90,Filme 90,M,6.2
91,Filme 91,F,7.5
92,Filme 92,M,9.1
93,Filme 93,F,8.0
94,Filme 94,M,6.2
95,Filme 95,F,9.1
96,Filme 96,M,8.2
97,Filme 97,F,8.2
98,Filme 98,M,7.4
99,Filme 99,F,7.7
100,Filme 100,M,6.8
